"Kod","Nazwa","Miasto","POP1995","POP2000","POP2010","POP2015","POP2020","POP2023"
261000,"Powiat m. Jelenia Góra","Jelenia Góra",93460,90130,84015,81010,77538,75124
262000,"Powiat m. Legnica","Legnica",107935,107416,103417,100886,95135,91948
264000,"Powiat m. Wrocław","Wrocław",641974,640614,630691,635759,673592,673743
461000,"Powiat m. Bydgoszcz","Bydgoszcz",386056,375676,364443,355645,339068,326434
462000,"Powiat m. Grudziądz","Grudziądz",102997,100878,98869,96319,91289,88658
463000,"Powiat m. Toruń","Toruń",204660,210194,205129,202689,198801,194771
464000,"Powiat m. Włocławek","Włocławek",123134,121833,117034,113041,105180,100807
661000,"Powiat m. Biała Podlaska","Biała Podlaska",56453,57901,58051,57414,55532,54453
662000,"Powiat m. Chełm","Chełm",69426,69012,66537,64270,59711,57214
663000,"Powiat m. Lublin","Lublin",354552,358933,349483,340727,335114,329565
664000,"Powiat m. Zamość","Zamość",66534,67134,66061,64788,60375,58231
861000,"Powiat m. Gorzów Wielkopolski","Gorzów Wielkopolski",124779,125767,124575,123762,120526,115247
862000,"Powiat m. Zielona Góra","Zielona Góra",116329,118103,118950,138711,140148,138932
1061000,"Powiat m. Łódź","Łódź",823215,798418,730633,700982,673003,652015
1062000,"Powiat m. Piotrków Trybunalski","Piotrków Trybunalski",81218,81238,76881,75183,69274,66519
1063000,"Powiat m. Skierniewice","Skierniewice",48063,48434,48633,48388,46548,45184
1261000,"Powiat m. Kraków","Kraków",744987,758715,757740,761069,800531,806201
1262000,"Powiat m. Nowy Sącz","Nowy Sącz",82301,84370,84368,83903,81435,80358
1263000,"Powiat m. Tarnów","Tarnów",121926,120822,114176,110644,106596,103129
1461000,"Powiat m. Ostrołęka","Ostrołęka",54162,54315,53619,52571,49913,48229
1462000,"Powiat m. Płock","Płock",127174,128580,124691,121731,114974,111190
1463000,"Powiat m. Radom","Radom",232649,230492,221658,216159,202259,196005
1464000,"Powiat m. Siedlce","Siedlce",74575,76454,76303,76942,76471,75297
1465000,"Powiat m. st. Warszawa","st. Warszawa",NA,NA,1700112,1744351,1861774,1861599
1661000,"Powiat m. Opole","Opole",130219,130427,122656,118931,127540,126077
1861000,"Powiat m. Krosno","Krosno",49277,48531,47516,46775,45165,44060
1862000,"Powiat m. Przemyśl","Przemyśl",68789,68220,65096,62720,58625,56050
1863000,"Powiat m. Rzeszów","Rzeszów",160271,160779,179199,185896,194374,197268
1864000,"Powiat m. Tarnobrzeg","Tarnobrzeg",50699,50310,48886,47816,45054,43712
2061000,"Powiat m. Białystok","Białystok",278489,289233,294155,295981,294675,291688
2062000,"Powiat m. Łomża","Łomża",63338,63805,63240,62737,61025,59711
2063000,"Powiat m. Suwałki","Suwałki",66624,68889,69245,69370,69273,68231
2261000,"Powiat m. Gdańsk","Gdańsk",463019,462995,460509,462249,486542,487371
2262000,"Powiat m. Gdynia","Gdynia",251631,253387,249461,247478,245739,241189
2263000,"Powiat m. Słupsk","Słupsk",102596,100386,96022,92496,88060,85504
2264000,"Powiat m. Sopot","Sopot",43576,42348,38858,37231,33125,31903
2461000,"Powiat m. Bielsko-Biała","Bielsko-Biała",180397,178611,174755,172591,169553,165766
2462000,"Powiat m. Bytom","Bytom",226810,195807,177266,170761,153827,147759
2463000,"Powiat m. Chorzów","Chorzów",125226,118708,111843,109757,104448,100593
2464000,"Powiat m. Częstochowa","Częstochowa",259135,253133,237203,228179,213942,205969
2465000,"Powiat m. Dąbrowa Górnicza","Dąbrowa Górnicza",130448,132858,126079,122712,117257,113460
2466000,"Powiat m. Gliwice","Gliwice",213392,205092,187830,183392,174581,169915
2467000,"Powiat m. Jastrzębie-Zdrój","Jastrzębie-Zdrój",103309,97537,92622,90283,85388,82301
2468000,"Powiat m. Jaworzno","Jaworzno",98210,97119,94831,92847,89269,86812
2469000,"Powiat m. Katowice","Katowice",351521,330625,311421,299910,286369,279190
2470000,"Powiat m. Mysłowice","Mysłowice",79766,75949,75501,74851,72587,71280
2471000,"Powiat m. Piekary Śląskie","Piekary Śląskie",66984,61347,58022,56374,53168,51707
2472000,"Powiat m. Ruda Śląska","Ruda Śląska",165873,152280,143566,139844,134169,130302
2473000,"Powiat m. Rybnik","Rybnik",144578,143218,141036,139595,134050,130887
2474000,"Powiat m. Siemianowice Śląskie","Siemianowice Śląskie",78101,74782,70296,68231,64935,63401
2475000,"Powiat m. Sosnowiec","Sosnowiec",247499,234486,216961,207381,194438,187115
2476000,"Powiat m. Świętochłowice","Świętochłowice",59600,56852,53304,50970,46645,45434
2477000,"Powiat m. Tychy","Tychy",133760,133463,129507,128444,125223,122045
2478000,"Powiat m. Zabrze","Zabrze",201302,197111,181399,176327,158923,153838
2479000,"Powiat m. Żory","Żory",66219,63533,62138,61945,61833,61774
2661000,"Powiat m. Kielce","Kielce",213777,213469,202450,198046,187427,182295
2861000,"Powiat m. Elbląg","Elbląg",128605,128305,124883,121642,115575,112923
2862000,"Powiat m. Olsztyn","Olsztyn",167898,172843,175388,173444,170706,167311
3061000,"Powiat m. Kalisz","Kalisz",106706,110104,105567,102808,96222,93137
3062000,"Powiat m. Konin","Konin",83008,82640,78670,75875,70162,67066
3063000,"Powiat m. Leszno","Leszno",61450,63084,64654,64559,62057,60051
3064000,"Powiat m. Poznań","Poznań",581171,582254,555614,542348,547777,538439
3261000,"Powiat m. Koszalin","Koszalin",111480,108899,109302,107970,106152,105540
3262000,"Powiat m. Szczecin","Szczecin",418156,416657,410245,405657,397289,389066
3263000,"Powiat m. Świnoujście","Świnoujście",43361,42207,41475,41152,40326,38904
