"Kod","Miasto","X","Y"
261000,"Jelenia Góra",268458.418052917,338942.030554793
262000,"Legnica",302183.228066808,374365.796743889
264000,"Wrocław",359822.250937334,364234.197173583
461000,"Bydgoszcz",436632.362305087,585527.736664297
462000,"Grudziądz",484964.324543348,623043.38113103
463000,"Toruń",474444.435841896,572923.169683126
464000,"Włocławek",503891.314393056,532840.251805527
661000,"Biała Podlaska",784016.114641577,470744.919867958
662000,"Chełm",813526.79909307,372794.450151024
663000,"Lublin",748243.922674722,379235.115215513
664000,"Zamość",800470.765089431,325743.012165497
861000,"Gorzów Wielkopolski",244843.352494347,547345.146225417
862000,"Zielona Góra",261620.293067402,456744.409853623
1061000,"Łódź",533131.85364711,433453.563718936
1062000,"Piotrków Trybunalski",549060.699770768,394489.234400515
1063000,"Skierniewice",579397.207466565,455440.683335187
1261000,"Kraków",570493.502102681,243344.522855203
1262000,"Nowy Sącz",623122.903911813,194730.623231115
1263000,"Tarnów",641303.263200823,241550.436093125
1461000,"Ostrołęka",673741.512446459,582782.928593768
1462000,"Płock",547571.16540381,519311.322771078
1463000,"Radom",649946.51668032,395495.256637317
1464000,"Siedlce",723647.904655818,482707.299988395
1465000,"st. Warszawa",639815.19419335,486779.200621582
1661000,"Opole",423563.16929943,313042.852550018
1861000,"Krosno",698564.275349724,206390.815239312
1862000,"Przemyśl",771812.390419231,219425.680377663
1863000,"Rzeszów",714439.016780203,243722.755463521
1864000,"Tarnobrzeg",691571.315952509,305446.715398922
2061000,"Białystok",778095.505612788,593292.0312951
2062000,"Łomża",704337.38597545,594264.100677313
2063000,"Suwałki",756963.936147576,699986.938523957
2261000,"Gdańsk",476355.607241111,721811.674205994
2262000,"Gdynia",466305.32787218,738181.404771381
2263000,"Słupsk",372474.998278363,735233.911689786
2264000,"Sopot",470471.87081963,730691.110694668
2461000,"Bielsko-Biała",502796.137798446,216180.265170341
2462000,"Bytom",491297.714650439,277391.614090381
2463000,"Chorzów",497227.017390604,269737.303342222
2464000,"Częstochowa",508331.001859959,326485.047230305
2465000,"Dąbrowa Górnicza",521309.10143326,276394.356215055
2466000,"Gliwice",475336.9508395,270284.84173214
2467000,"Jastrzębie-Zdrój",472307.015933639,232044.78154489
2468000,"Jaworzno",520771.728952749,259720.242982282
2469000,"Katowice",501650.555034178,261200.027166279
2470000,"Mysłowice",510435.436744385,258989.986829206
2471000,"Piekary Śląskie",497631.459709438,278495.435473956
2472000,"Ruda Śląska",490673.698175728,266575.27397368
2473000,"Rybnik",467418.486085076,248800.451775314
2474000,"Siemianowice Śląskie",501898.354923409,271800.151848267
2475000,"Sosnowiec",513738.862005939,267684.456721158
2476000,"Świętochłowice",493651.021865389,270154.747200653
2477000,"Tychy",500188.31275196,250649.715313977
2478000,"Zabrze",484827.614851669,272074.176852901
2479000,"Żory",477975.696094025,241139.189104964
2661000,"Kielce",613198.944126192,333906.505061795
2861000,"Elbląg",528651.430540684,702997.826391479
2862000,"Olsztyn",597103.351429383,658455.811106441
3061000,"Kalisz",436230.746401365,431242.642386099
3062000,"Konin",449649.471895321,487953.523488051
3063000,"Leszno",333182.565603563,444617.49667633
3064000,"Poznań",358768.125432273,506529.934726157
3261000,"Koszalin",317819.566796526,707801.996162264
3262000,"Szczecin",208782.131825237,627484.683224981
3263000,"Świnoujście",192697.225152931,675214.252988108
